start node index, end node index, connection length
0,16,82083.28
0,142,207126.8
1,193,49751.46
2,35,127111.5
2,63,183422.1
2,147,239236.5
2,287,150987.8
3,192,94235.9
3,215,115061.8
3,259,23012.61
4,120,182911.3
4,130,164549.1
4,158,120582.6
5,40,213811.3
5,152,176019.6
6,186,27747.36
6,369,219082.8
6,478,149179.7
7,85,141352.4
7,525,100474.9
7,541,135339
8,46,61250.88
8,309,53156.63
8,359,99438.96
9,125,96975.7
9,173,183011
10,243,84702.13
11,204,151293.2
11,255,128498
11,293,61054.29
11,348,212127.8
12,138,118547.5
12,185,113099.4
12,196,2299.691
13,239,136799
14,187,39438.78
14,282,99854.02
14,336,46142.05
14,504,134331.1
15,116,121514.9
15,513,99591.82
15,545,127582
15,606,143938.8
17,125,81098.63
17,273,148129.6
18,282,62185.02
18,291,76206.23
18,472,102256.4
19,164,122577.9
19,314,168206.5
19,469,116707.3
20,47,117726.7
20,107,92076.52
20,306,39721.22
21,205,152078.6
22,131,118930.8
22,135,116285.3
22,290,107596.8
22,346,136565.6
23,53,155935.7
23,64,96315.71
23,99,84101.15
24,366,38075.79
24,404,26345.97
24,413,220563.3
24,526,109723.5
25,150,47152.96
25,151,170250.9
26,57,58639.93
27,3,83334.04
27,48,204133.2
28,38,124964.4
28,69,93951.54
28,99,17579.94
28,177,62595.24
29,34,95402.98
29,93,72114.7
30,136,28123.63
30,165,45677.66
30,197,150528.4
31,16,34083.85
32,54,104349.1
33,39,71758.76
33,117,26262.14
33,258,20465.22
36,337,67104.12
37,49,139850.4
37,97,14609.32
38,7,213125.4
41,229,60318.03
41,329,73417.78
42,173,151934
42,281,99378.95
43,24,192039.3
43,116,101945.6
43,176,25111.11
44,189,38279.29
44,237,66118.33
44,330,25437.42
45,39,103743.9
45,210,62669.82
49,6,190920.1
50,94,46157.22
50,284,113842.3
51,76,162181
51,180,92339.29
52,81,161972.5
52,260,137862.9
52,333,166355.2
52,378,46555.01
54,31,91299.88
55,99,57383.19
55,122,50327.37
55,178,164125.3
56,39,90874.6
56,147,134351.3
57,18,49364.81
58,192,242142.1
58,236,88607.41
58,240,105624.8
58,300,209435.9
59,24,198572
60,7,202528.6
60,134,134423.9
60,155,96122.13
61,161,144168.4
62,159,115481.7
65,20,148661.5
65,131,136875.9
65,319,39267.12
66,134,179189
67,15,43105.54
67,104,108646.2
68,24,86470.96
68,46,74776.81
68,152,116061.5
68,187,80990.6
70,20,91722.02
70,51,53049.15
70,138,4954.052
71,112,178546.2
71,125,83261.24
71,266,135162
72,193,128058.9
72,205,138735.8
73,113,105796.5
73,169,62813.15
73,202,187738.5
74,2,163597
74,76,79601.77
75,356,102448.6
75,373,53354.55
77,70,50129.92
78,7,34042.84
78,42,145079.5
79,283,211058.7
79,400,168594.5
79,417,117837.2
80,35,144046.6
82,159,124146.6
83,33,87754.91
83,246,111006.7
83,269,98663.55
83,290,85316.72
84,445,187242.7
85,6,210052.3
86,5,121566.7
87,100,123623.5
87,213,54140.94
87,311,184844.9
88,133,105552.7
89,66,26316.17
89,91,121472.4
90,17,60445.5
90,57,205016.7
90,217,105594.9
90,297,132857.6
92,106,73070.02
92,125,45448.74
92,233,135762.3
94,47,59362.58
95,10,41993.08
96,15,89942.28
98,119,136469.9
100,13,86532.95
100,70,33122.37
101,56,81163.05
101,93,30824.12
101,106,131093.6
102,20,60147.06
102,81,30113.58
102,91,128005.7
103,261,26764.86
103,357,141399.1
103,422,70965.92
105,14,27898.33
105,141,131070.7
105,225,101955.2
106,26,162818
108,53,141243.9
108,160,131779.2
109,32,95134.58
110,420,146333.9
111,211,126435.4
111,388,76940.72
112,21,155012.1
112,37,159751.7
113,27,101019.8
113,39,156746.1
114,11,171980.2
114,26,111368.2
114,222,144137.2
114,226,185627.2
115,72,146618.3
115,95,98649.73
115,114,45732.63
117,30,147773.8
118,80,139807
118,216,147617.5
118,223,70344.62
121,178,106512.7
121,237,46354.9
121,285,59120.46
121,323,73830.84
122,37,154865.8
123,164,45743.2
123,218,70675.05
123,224,51981.77
124,252,78420.65
124,416,54952.71
124,542,93501.76
126,14,14011.5
127,29,33556.14
128,3,67265.55
128,153,154180.9
129,279,54440.32
129,537,109445.8
129,554,35302.7
132,14,113263.6
132,168,150204.2
132,231,70537.12
132,247,134877.8
134,11,135055.7
137,66,230203
137,127,100784.2
139,192,160926
139,228,73319.88
139,296,113862
139,339,32731.96
140,241,119717
140,407,94329.87
140,419,89945.86
140,454,36946.38
143,39,190401.2
143,62,78394.27
144,14,134413
144,135,9138.729
145,10,30730.93
145,173,175772.2
145,174,165884.7
146,181,55868.99
148,13,88865.72
148,118,129904.7
148,149,116690.7
148,205,33900.79
149,120,127835.1
150,20,105864.6
153,24,152869.9
154,276,68951.5
154,331,57578.89
154,591,162884.3
154,676,109419
155,53,79882.82
156,82,162895.8
156,97,146948.8
157,96,87864.95
160,19,53067.1
162,207,105483.6
162,357,30791.56
162,387,56455.05
162,451,189711.1
163,165,60353.24
163,262,195941.1
166,43,14631.91
166,54,55007.77
166,203,130195.7
167,35,94999.53
167,51,82025.48
167,97,44453.01
168,98,152380.4
170,514,192419.1
170,520,137021.2
171,26,202243.3
171,44,108311.2
171,137,143735.4
172,19,38910.19
172,397,92106.11
172,471,87845.9
174,121,158177.6
175,138,57435.56
176,35,111330.3
177,20,126535.3
178,17,137198.4
179,34,16307.61
179,55,30499.61
179,87,68020.53
179,102,64752.75
181,66,119941.5
182,48,160890.8
182,134,77739.59
182,284,32574.02
183,64,51233.96
183,363,58901.95
183,384,131819.4
183,526,123375.6
184,17,93015.72
188,42,59912.28
188,285,78592.3
188,331,38361.73
189,23,126658.5
190,69,176084.6
190,123,82817.43
190,439,49459.43
191,1,112322.9
191,69,23544.46
191,150,50265.3
194,69,49568.8
194,317,135096.4
195,124,51538.78
195,254,87751.79
195,329,91196.87
197,12,129729.1
198,224,109648.2
198,289,164559
198,354,51632.23
199,24,142879.6
199,111,159726.8
199,208,60789.19
199,615,39052.99
200,1,69224.34
200,16,45178.26
200,40,123596.3
201,134,14882.39
201,637,116088.9
201,674,117153.4
201,921,89381.36
202,3,85735.66
203,66,143997.5
206,28,135479.9
208,78,30469.9
209,18,98782.91
212,147,88894.84
212,230,170672.7
212,247,156495.1
214,58,75300.46
214,69,75426.65
214,102,60931.75
217,9,91781.16
218,112,171357.1
219,70,140361.3
219,116,200436.9
219,264,184059.4
219,407,155223.2
220,4,172107.5
220,66,137569.6
221,39,199333.6
221,120,104531.5
221,129,109714.8
221,230,214441.5
222,7,187412.7
224,34,91732.99
225,46,123739
225,95,70352.34
227,59,125050.8
230,68,69510.12
230,142,169708.6
230,144,61686.67
231,55,101765.1
232,21,118638.3
232,57,129248.8
233,29,24280
233,76,77751.62
234,245,143443.5
234,267,47709.25
234,395,37448.18
235,140,167779.3
238,43,73932.37
238,142,125077.2
242,9,161670.7
242,55,59805.71
242,164,134515.3
242,408,178463.1
244,85,171776.6
244,87,105933.6
244,127,79259.16
245,226,24916.59
247,60,156838.8
247,91,21761.96
248,137,41198.9
249,108,7788.923
249,115,153092.5
249,130,164741.6
249,265,84526.02
250,163,86301.25
251,36,107783.9
251,305,164175.9
251,378,35910.41
251,409,107335.2
253,145,117927.5
253,177,127998
253,292,176020
256,285,55816.11
257,63,73506.45
257,101,122739.4
257,127,141935
261,64,34105.11
262,12,130597.2
263,154,92283.27
